date;value;country;indicator;frequency
2000-03-01;26020.6;HN;NGDP_SA_XDC;Q
2000-06-01;26554.2;HN;NGDP_SA_XDC;Q
2000-09-01;26849.0;HN;NGDP_SA_XDC;Q
2000-12-01;27230.4;HN;NGDP_SA_XDC;Q
2001-03-01;28443.4;HN;NGDP_SA_XDC;Q
2001-06-01;29389.0;HN;NGDP_SA_XDC;Q
2001-09-01;29764.7;HN;NGDP_SA_XDC;Q
2001-12-01;30818.6;HN;NGDP_SA_XDC;Q
2002-03-01;30581.7;HN;NGDP_SA_XDC;Q
2002-06-01;31986.7;HN;NGDP_SA_XDC;Q
2002-09-01;33275.7;HN;NGDP_SA_XDC;Q
2002-12-01;33322.5;HN;NGDP_SA_XDC;Q
2003-03-01;33797.1;HN;NGDP_SA_XDC;Q
2003-06-01;35147.9;HN;NGDP_SA_XDC;Q
2003-09-01;36258.9;HN;NGDP_SA_XDC;Q
2003-12-01;37614.0;HN;NGDP_SA_XDC;Q
2004-03-01;38272.9;HN;NGDP_SA_XDC;Q
2004-06-01;40109.4;HN;NGDP_SA_XDC;Q
2004-09-01;41050.0;HN;NGDP_SA_XDC;Q
2004-12-01;42075.1;HN;NGDP_SA_XDC;Q
2005-03-01;44597.8;HN;NGDP_SA_XDC;Q
2005-06-01;44977.6;HN;NGDP_SA_XDC;Q
2005-09-01;46227.2;HN;NGDP_SA_XDC;Q
2005-12-01;47944.8;HN;NGDP_SA_XDC;Q
2006-03-01;49377.9;HN;NGDP_SA_XDC;Q
2006-06-01;50664.9;HN;NGDP_SA_XDC;Q
2006-09-01;51526.7;HN;NGDP_SA_XDC;Q
2006-12-01;54718.6;HN;NGDP_SA_XDC;Q
2007-03-01;55830.2;HN;NGDP_SA_XDC;Q
2007-06-01;57607.2;HN;NGDP_SA_XDC;Q
2007-09-01;59033.0;HN;NGDP_SA_XDC;Q
2007-12-01;61096.8;HN;NGDP_SA_XDC;Q
2008-03-01;62793.6;HN;NGDP_SA_XDC;Q
2008-06-01;66358.6;HN;NGDP_SA_XDC;Q
2008-09-01;65018.7;HN;NGDP_SA_XDC;Q
2008-12-01;68245.9;HN;NGDP_SA_XDC;Q
2009-03-01;68804.5;HN;NGDP_SA_XDC;Q
2009-06-01;68749.4;HN;NGDP_SA_XDC;Q
2009-09-01;68561.2;HN;NGDP_SA_XDC;Q
2009-12-01;69517.1;HN;NGDP_SA_XDC;Q
2010-03-01;71437.8;HN;NGDP_SA_XDC;Q
2010-06-01;73336.3;HN;NGDP_SA_XDC;Q
2010-09-01;75332.5;HN;NGDP_SA_XDC;Q
2010-12-01;79179.4;HN;NGDP_SA_XDC;Q
2011-03-01;79987.0;HN;NGDP_SA_XDC;Q
2011-06-01;82651.7;HN;NGDP_SA_XDC;Q
2011-09-01;84518.5;HN;NGDP_SA_XDC;Q
2011-12-01;87870.7;HN;NGDP_SA_XDC;Q
2012-03-01;88840.8;HN;NGDP_SA_XDC;Q
2012-06-01;90670.3;HN;NGDP_SA_XDC;Q
2012-09-01;91352.0;HN;NGDP_SA_XDC;Q
2012-12-01;90485.5;HN;NGDP_SA_XDC;Q
2013-03-01;92434.2;HN;NGDP_SA_XDC;Q
2013-06-01;94118.3;HN;NGDP_SA_XDC;Q
2013-09-01;94628.3;HN;NGDP_SA_XDC;Q
2013-12-01;95358.7;HN;NGDP_SA_XDC;Q
2014-03-01;98956.1;HN;NGDP_SA_XDC;Q
2014-06-01;102826.5;HN;NGDP_SA_XDC;Q
2014-09-01;104424.2;HN;NGDP_SA_XDC;Q
2014-12-01;108426.7;HN;NGDP_SA_XDC;Q
2015-03-01;112828.4;HN;NGDP_SA_XDC;Q
2015-06-01;113394.9;HN;NGDP_SA_XDC;Q
2015-09-01;115404.3;HN;NGDP_SA_XDC;Q
2015-12-01;118777.6;HN;NGDP_SA_XDC;Q
2016-03-01;118556.1;HN;NGDP_SA_XDC;Q
2016-06-01;121827.0;HN;NGDP_SA_XDC;Q
2016-09-01;125256.7;HN;NGDP_SA_XDC;Q
2016-12-01;130282.2;HN;NGDP_SA_XDC;Q
2017-03-01;132120.2;HN;NGDP_SA_XDC;Q
2017-06-01;134474.8;HN;NGDP_SA_XDC;Q
2017-09-01;138182.3;HN;NGDP_SA_XDC;Q
2017-12-01;138625.8;HN;NGDP_SA_XDC;Q
2018-03-01;139230.1;HN;NGDP_SA_XDC;Q
2018-06-01;143770.1;HN;NGDP_SA_XDC;Q
2018-09-01;144337.8;HN;NGDP_SA_XDC;Q
2018-12-01;147946.9;HN;NGDP_SA_XDC;Q
2019-03-01;149158.3;HN;NGDP_SA_XDC;Q
2019-06-01;150565.4;HN;NGDP_SA_XDC;Q
2019-09-01;154234.9;HN;NGDP_SA_XDC;Q
2019-12-01;155868.4;HN;NGDP_SA_XDC;Q
2020-03-01;151161.0;HN;NGDP_SA_XDC;Q
2020-06-01;127011.4;HN;NGDP_SA_XDC;Q
2020-09-01;144805.0;HN;NGDP_SA_XDC;Q
2020-12-01;151065.7;HN;NGDP_SA_XDC;Q
2021-03-01;157525.5;HN;NGDP_SA_XDC;Q
2021-06-01;165494.3;HN;NGDP_SA_XDC;Q
2021-09-01;173854.3;HN;NGDP_SA_XDC;Q
2021-12-01;179063.7;HN;NGDP_SA_XDC;Q
2022-03-01;182490.1;HN;NGDP_SA_XDC;Q
2022-06-01;188921.9;HN;NGDP_SA_XDC;Q
2022-09-01;196549.1;HN;NGDP_SA_XDC;Q
2022-12-01;201538.6;HN;NGDP_SA_XDC;Q
2023-03-01;203879.0;HN;NGDP_SA_XDC;Q
2023-06-01;209919.4;HN;NGDP_SA_XDC;Q
2023-09-01;213129.5;HN;NGDP_SA_XDC;Q
2023-12-01;219381.4;HN;NGDP_SA_XDC;Q
1991-03-01;201357.9;CR;NGDP_SA_XDC;Q
1991-06-01;214087.8;CR;NGDP_SA_XDC;Q
1991-09-01;224911.3;CR;NGDP_SA_XDC;Q
1991-12-01;241602.2;CR;NGDP_SA_XDC;Q
1992-03-01;259206.2;CR;NGDP_SA_XDC;Q
1992-06-01;278228.4;CR;NGDP_SA_XDC;Q
1992-09-01;302408.7;CR;NGDP_SA_XDC;Q
1992-12-01;312801.1;CR;NGDP_SA_XDC;Q
1993-03-01;305794.4;CR;NGDP_SA_XDC;Q
1993-06-01;330728.5;CR;NGDP_SA_XDC;Q
1993-09-01;352816.1;CR;NGDP_SA_XDC;Q
1993-12-01;374783.2;CR;NGDP_SA_XDC;Q
1994-03-01;390247.9;CR;NGDP_SA_XDC;Q
1994-06-01;407266.8;CR;NGDP_SA_XDC;Q
1994-09-01;415978.9;CR;NGDP_SA_XDC;Q
1994-12-01;434556.0;CR;NGDP_SA_XDC;Q
1995-03-01;504836.5;CR;NGDP_SA_XDC;Q
